Sample Name:,At a glance:,,,,,,,,Status:,Notes:,Process ID:,Used By:,Deposition Parameters:,,,,,,,,,,,,,,Thickness Measurements:,,,,,,Resistance Measurements:,,,,,,,,,
,Substrate:,d (nm),Rs,Tc,Delta Tc,Rho,RRR,Rho*Tc,,,,,Deposition Date:,Run #:,Substrate:,SiNx or SiO2 Thickness (nm):,Chuck Slot:,Temperature (C):,Deposition Time (s),Current setpoint (mA) -or- Power setpoint (W),Nitrogen Flow (sccm),Argon Flow (sccm),Pressure (mTorr),Chuck Height (mm),Pre-deposition Spark Power (W),"Peak Power, Shutter Open (W)",Reflectance:,Transmittance:,Absorptance:,Synthesis Protocol:,Thickness (nm) (Visible Trans),Thickness (nm) (IR Trans),R_sheet Initial,R_sheet_Tc,T_C,Delta T_C,RRR,Synthesis Protocol:,rho (uOhm*cm):,rho*Tc (Ohm*nm*K):,deposition rate (nm/min):,Exclude (Y if yes else ''):
SPD965,SiO2,,430,11.05,1.54,0,0.852,0,,Bias Sputtering Experiment.,,,8/14/13,358,SiO2,228.9,4,800,84,400,8,26.5,2.5,40,,,,,,,,,430,,11.05,1.54,0.85,,0,0,0,
SPD966,SiO2,,439,11.03,1.54,0,0.851,0,,Bias Sputtering Experiment.,,,8/14/13,358,SiO2,228.9,5,800,84,400,8,26.5,2.5,40,,,,,,,,,439.4,,11.03,1.54,0.85,,0,0,0,
SPD967,MgO,4.3,295,12.2,1.03,128,0.858,"15,606",,Bias Sputtering Experiment.,,,8/14/13,358,MgO,,6,800,84,400,8,26.5,2.5,40,,,0.1982,0.575,0.2268,based on T,4.34,,294.7,,12.2,1.03,0.86,,127.92,"15,606.10",3.1,
SPD968,SiNx,,323,12.49,1.27,0,0.875,0,,For FB fab. 40W bias sputtering.,,,8/16/13,359,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),1,800,96,400,8,26.5,2.5,40,,,,,,,,,322.6,,12.49,1.27,0.88,,0,0,0,
SPD969,SiNx,,324,12.5,1.27,0,0.879,0,,For FB fab. 40W bias sputtering.,,,8/16/13,359,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),2,800,96,400,8,26.5,2.5,40,,,,,,,,,323.6,,12.5,1.27,0.88,,0,0,0,
SPD970,SiNx,,353,11.41,1.38,0,0.876,0,,For FB fab. 40W bias sputtering.,,,8/16/13,359,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),3,800,96,400,8,26.5,2.5,40,,,,,,,,,353.4,,11.41,1.38,0.88,,0,0,0,
SPD971,SiNx,,325,12.45,1.27,0,0.871,0,,For FB fab. 40W bias sputtering.,,,8/16/13,359,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),4,800,96,400,8,26.5,2.5,40,,,,,,,,,324.9,,12.45,1.27,0.87,,0,0,0,
SPD972,SiNx,,325,12.48,1.28,0,0.873,0,,For FB fab. 40W bias sputtering.,,,8/16/13,359,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),5,800,96,400,8,26.5,2.5,40,,,,,,,,,324.7,,12.48,1.28,0.87,,0,0,0,
SPD973,MgO,4.9,244,12.7,1.03,120,0.871,"15,220",,For FB fab. 40W bias sputtering.,,,8/16/13,359,MgO,,6,800,96,400,8,26.5,2.5,40,,,0.2201,0.5474,0.2325,based on T,4.91,,244.1,,12.7,1.03,0.87,,119.84,"15,219.70",3.07,
SPD974,SiNx,,348,11.65,1.29,0,0.877,0,,40W bias sputtering.,,,8/20/13,360,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),1,800,66,500,8,26.5,2.5,40,,,,,,,,,347.9,,11.65,1.29,0.88,,0,0,0,
SPD975,SiNx,,346,11.65,1.21,0,0.876,0,,40W bias sputtering.,,,8/20/13,360,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),2,800,66,500,8,26.5,2.5,40,,,,,,,,,345.8,,11.65,1.21,0.88,,0,0,0,
SPD976,SiNx,,374,10.68,1.36,0,0.876,0,,40W bias sputtering.,,,8/20/13,360,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),3,800,66,500,8,26.5,2.5,40,,,,,,,,,373.6,,10.68,1.36,0.88,,0,0,0,
SPD977,SiNx,,345,11.65,1.22,0,0.879,0,,40W bias sputtering.,,,8/20/13,360,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),4,800,66,500,8,26.5,2.5,40,,,,,,,,,344.7,,11.65,1.22,0.88,,0,0,0,
SPD978,MgO,4.8,206,13.63,0.69,100,1.008,"13,578",,40W bias sputtering.,,,8/20/13,360,MgO,,5,800,66,500,8,26.5,2.5,40,,,0.2095,0.5512,0.2393,based on T,4.83,,206.2,,13.63,0.69,1.01,,99.62,"13,577.99",4.39,
SPD979,MgO,4.8,246,12.66,0.88,118,0.909,"14,940",,40W bias sputtering.,,,8/20/13,360,MgO,,6,800,66,500,8,26.5,2.5,40,,,0.2095,0.5529,0.2376,based on T,4.8,,245.9,,12.66,0.88,0.91,,118.01,"14,940.28",4.36,
SPD980,SiO2,,,,,0,,0,,In during testing of RF sputtering etc.,,,8/20/13,361,SiO2,265,3,20,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,
SPD981,SiO2,,,,,0,,0,,In during testing of RF sputtering etc.,,,8/20/13,361,SiO2,265,6,20,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,
SPD982,,,,,,0,,0,,Dep by Yachin,,,8/21/13,362,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,
SPD983,,,,,,0,,0,,Dep by Yachin,,,8/21/13,362,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,
SPD984,,,,,,0,,0,,Dep by Yachin,,,8/21/13,362,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,
SPD985,,,,,,0,,0,,Dep by Yachin,,,8/21/13,362,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,
SPD986,,,,,,0,,0,,Dep by Yachin,,,8/21/13,362,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,
SPD987,,,,,,0,,0,,Dep by Yachin,,,8/21/13,362,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,
SPD988,MgO,12,314,9.1,1.11,377,0.705,"34,271",,MgO RT no bias,,,8/22/13,363,MgO,,1,20,200,400,8,26.5,2.5,40,,,0.302,0.3186,0.3794,based on T,12,,313.8,,9.1,1.11,0.7,,376.6,"34,270.71",3.6,
SPD989,LiF,,305,9.06,1.06,0,0.739,0,,MgO RT no bias,,,8/22/13,363,LiF,,2,20,200,400,8,26.5,2.5,40,,,,,,,,,304.9,,9.06,1.06,0.74,,0,0,0,
SPD990,MgO,4.7,534,9.25,1.9,249,0.682,"23,026",,Room temp dep w 40W bias sputtering,,,8/22/13,364,MgO,,1,20,84,400,8,26.5,2.5,40,,,0.201,0.5598,0.2391,based on T,4.66,,534.2,,9.25,1.9,0.68,,248.93,"23,025.77",3.33,
SPD991,MgO,4.7,531,9.26,1.85,249,0.687,"23,044",,Room temp dep w 40W bias sputtering,,,8/22/13,364,MgO,,2,20,84,400,8,26.5,2.5,40,,,0.205,0.5581,0.2368,based on T,4.69,,530.6,,9.26,1.85,0.69,,248.86,"23,044.08",3.35,
SPD992,SiO2,,655,7.62,1.84,0,0.769,0,,Room temp dep w 40W bias sputtering,,,8/22/13,364,SiO2,265,3,20,84,400,8,26.5,2.5,40,,,,,,,,,654.8,,7.62,1.84,0.77,,0,0,0,
SPD993,MgO,4.7,533,9.25,1.89,248,0.681,"22,964",,Room temp dep w 40W bias sputtering,,,8/22/13,364,MgO,,4,20,84,400,8,26.5,2.5,40,,,0.2018,0.5595,0.2387,based on T,4.66,,532.8,,9.25,1.89,0.68,,248.26,"22,964.24",3.33,
SPD994,MgO,4.6,539,9.23,1.89,247,0.683,"22,842",,Room temp dep w 40W bias sputtering,,,8/22/13,364,MgO,,5,20,84,400,8,26.5,2.5,40,,,0.2049,0.5629,0.2321,based on T,4.59,,539.2,,9.23,1.89,0.68,,247.48,"22,842.49",3.28,
SPD995,SiO2,,638,7.63,1.84,0,0.771,0,,Room temp dep w 40W bias sputtering,,,8/22/13,364,SiO2,265,6,20,84,400,8,26.5,2.5,40,,,,,,,,,637.7,,7.63,1.84,0.77,,0,0,0,
SPD996,MgO,4.7,"25,103",0,,"11,798",,0,,"Nitrogen only, 40W bias sputtering.",,,8/22/13,365,MgO,,3,20,180,400,19,0,2.5,40,,,0.2142,0.5575,0.2284,based on T,4.7,,"25,103.20",,0,,,,"11,798.50",0,1.57,
SPD997,MgO,4.7,"24,443",0,,"11,488",,0,,"Nitrogen only, 40W bias sputtering.",,,8/22/13,365,MgO,,6,20,180,400,19,0,2.5,40,,,0.2082,0.5598,0.232,based on T,4.7,,"24,443.00",,0,,,,"11,488.23",0,1.57,
SPD998,MgO,,,14.77,0.2,0,1.031,0,,"Cleaning, w/ bias sputtering",,,8/22/13,366,MgO,,3,800,600,400,8,26.5,2.5,40,,,,,,,,,,,14.77,0.2,1.03,,0,0,0,
SPD999,MgO,,,14.77,0.2,0,1.018,0,,"Cleaning, w/ bias sputtering",,,8/22/13,366,MgO,,6,800,600,400,8,26.5,2.5,40,,,,,,,,,,,14.77,0.2,1.02,,0,0,0,
SPE000,SiNx,,603,,,0,,0,,no longer in N2 box...,,,8/28/13,367,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),1,800,75,400,8,26.5,2.5,40,,,,,,,,,602.9,,,,,,0,0,0,
SPE001,SiNx,,610,,,0,,0,,no longer in N2 box...,,,8/28/13,367,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),2,800,75,400,8,26.5,2.5,40,,,,,,,,,610.4,,,,,,0,0,0,
SPE002,SiNx,,488,,,0,,0,,no longer in N2 box...,,,8/28/13,367,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),3,800,75,400,8,26.5,2.5,40,,,,,,,,,488,,,,,,0,0,0,
SPE003,SiNx,,597,,,0,,0,,no longer in N2 box...,,,8/28/13,367,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),4,800,75,400,8,26.5,2.5,40,,,,,,,,,597,,,,,,0,0,0,
SPE004,SiNx,,598,9.87,2.17,0,0.768,0,,,,,8/28/13,367,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),5,800,75,400,8,26.5,2.5,40,,,,,,,,,597.9,,9.87,2.17,0.77,,0,0,0,
SPE005,MgO,3.7,366,11.17,1.54,137,0.77,"15,261",,,,,8/28/13,367,MgO,,6,800,75,400,8,26.5,2.5,40,,,0.1842,0.6065,0.2093,based on T,3.73,,366.3,,11.17,1.54,0.77,,136.63,"15,261.09",2.98,
SPE006,SiNx,,470,10.88,1.72,0,0.805,0,,,,,8/28/13,368,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),1,800,87,400,8,26.5,2.5,40,,,,,,,,,469.8,,10.88,1.72,0.8,,0,0,0,
SPE007,SiNx,,454,10.91,1.63,0,0.813,0,,,,,8/28/13,368,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),2,800,87,400,8,26.5,2.5,40,,,,,,,,,453.9,,10.91,1.63,0.81,,0,0,0,
SPE008,SiNx,,379,11.88,1.43,0,0.872,0,,,,,8/28/13,368,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),3,800,87,400,8,26.5,2.5,40,,,,,,,,,379.3,,11.88,1.43,0.87,,0,0,0,
SPE009,SiNx,,460,10.88,1.69,0,0.812,0,,,,,8/28/13,368,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),4,800,87,400,8,26.5,2.5,40,,,,,,,,,460.5,,10.88,1.69,0.81,,0,0,0,
SPE010,SiNx,,468,10.88,1.71,0,0.806,0,,,,,8/28/13,368,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),5,800,87,400,8,26.5,2.5,40,,,,,,,,,468.3,,10.88,1.71,0.81,,0,0,0,
SPE011,MgO,4.4,285,12.72,,125,0.794,"15,904",,,,,8/28/13,368,MgO,,6,800,87,400,8,26.5,2.5,40,,,0.2006,0.6065,0.1929,based on T,4.38,,285.5,,12.72,,0.79,,125.03,"15,904.35",3.02,
SPE012,SiNx,,525,10.56,1.84,0,0.789,0,,For FN Fab,,,8/30/13,369,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),1,800,81,400,8,26.5,2.5,40,,,,,,,,,525.3,,10.56,1.84,0.79,,0,0,0,
SPE013,SiNx,,525,10.54,1.83,0,0.789,0,,For FN Fab,,,8/30/13,369,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),2,800,81,400,8,26.5,2.5,40,,,,,,,,,524.5,,10.54,1.83,0.79,,0,0,0,
SPE014,MgO,4.1,328,11.78,1.31,135,0.786,"15,886",,For FN Fab,,,8/30/13,369,MgO,,3,800,81,400,8,26.5,2.5,40,,,0.1931,0.5862,0.2207,based on T,4.11,,328.1,,11.78,1.31,0.79,,134.85,"15,885.60",3.04,
SPE015,SiNx,,527,10.43,1.86,0,0.784,0,,For FN Fab,,,8/30/13,369,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),4,800,81,400,8,26.5,2.5,40,,,,,,,,,527.2,,10.43,1.86,0.78,,0,0,0,
SPE016,SiNx,,519,10.62,1.83,0,0.791,0,,For FN Fab,,,8/30/13,369,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),5,800,81,400,8,26.5,2.5,40,,,,,,,,,519.4,,10.62,1.83,0.79,,0,0,0,
SPE017,MgO,4,269,13.26,0.92,106,0.819,"14,083",,For FN Fab,,,8/30/13,369,MgO,,6,800,81,400,8,26.5,2.5,40,,,0.1914,0.5945,0.2141,based on T,3.95,,268.9,,13.26,0.92,0.82,,106.21,"14,082.78",2.93,
SPE018,MgO,60,14,16.25,0.1,83,0.918,"13,569",,Cleaning after system failure,,,9/14/13,370,MgO,,3,800,1200,400,8,26.5,2.5,40,,,,,,dep time,60,,13.9,,16.25,0.1,0.92,,83.5,"13,568.56",3,
SPE019,MgO,60,15,16.2,0.1,89,0.859,"14,394",,Cleaning after system failure,,,9/14/13,370,MgO,,6,800,1200,400,8,26.5,2.5,40,,,,,,dep time,60,,14.8,,16.2,0.1,0.86,,88.85,"14,393.92",3,
SPE020,SiNx,,502,10.73,1.8,0,0.798,0,,For Annealing,,,9/17/13,372,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),1,800,84,400,8,26.5,2.5,40,,,,,,,,,502.4,,10.73,1.8,0.8,,0,0,0,
SPE021,SiNx,,510,10.66,1.77,0,0.798,0,,For Annealing,,,9/17/13,372,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),2,800,84,400,8,26.5,2.5,40,,,,,,,,,509.7,,10.66,1.77,0.8,,0,0,0,
SPE022,MgO,4.1,334,11.75,1.35,137,0.79,"16,107",,For Annealing,,,9/17/13,372,MgO,,3,800,84,400,8,26.5,2.5,40,,,0.1913,0.5869,0.2218,based on T,4.1,,334.4,,11.75,1.35,0.79,,137.08,"16,107.42",2.93,
SPE023,SiNx,,508,10.63,1.78,0,0.8,0,,For Annealing,,,9/17/13,372,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),4,800,84,400,8,26.5,2.5,40,,,,,,,,,508,,10.63,1.78,0.8,,0,0,0,
SPE024,SiNx,,506,10.67,1.77,0,0.793,0,,For Annealing,,,9/17/13,372,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),5,800,84,400,8,26.5,2.5,40,,,,,,,,,505.6,,10.67,1.77,0.79,,0,0,0,
SPE025,SiNx,,412,11.82,1.56,0,0.86,0,,For Annealing,,,9/17/13,372,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),6,800,84,400,8,26.5,2.5,40,,,,,,,,,412.1,,11.82,1.56,0.86,,0,0,0,
SPE026,,,,,,0,,0,,Dep by Yachin,,,9/22/13,373,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,
SPE027,MgO,4.4,325,11.6,1.29,143,0.769,"16,601",,,,,9/23/13,375,MgO,,1,800,84,400,8,26.5,2.5,40,,,0.2026,0.5712,0.2262,based on T,4.4,,325.3,,11.6,1.29,0.77,,143.11,"16,600.91",3.14,
SPE028,MgO,,323,11.38,1.15,0,0.782,0,,~9nm Backside absorber,,,9/23/13,375,MgO,,2,800,84,400,8,26.5,2.5,40,,,,,,,,,323.5,,11.38,1.15,0.78,,0,0,0,
SPE029,MgO,,306,11.96,1.29,0,0.809,0,,~9nm Backside absorber,,,9/23/13,375,MgO,,3,800,84,400,8,26.5,2.5,40,,,,,,,,,306.2,,11.96,1.29,0.81,,0,0,0,
SPE030,SiNx,,484,10.3,1.68,0,0.812,0,,,,,9/23/13,375,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),4,800,84,400,8,26.5,2.5,40,,,,,,,,,483.7,,10.3,1.68,0.81,,0,0,0,
SPE031,SiNx,,487,10.1,1.7,0,0.803,0,,~9nm Backside absorber,,,9/23/13,375,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),5,800,84,400,8,26.5,2.5,40,,,,,,,,,487.1,,10.1,1.7,0.8,,0,0,0,
SPE032,SiNx,,390,11.48,1.35,0,0.865,0,,~9nm Backside absorber,,,9/23/13,375,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),6,800,84,400,8,26.5,2.5,40,,,,,,,,,389.8,,11.48,1.35,0.86,,0,0,0,
SPE033,SiNx,,484,10.87,1.74,0,0.801,0,,For Annealing,,,10/2/13,377,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),1,800,84,400,8,26.5,2.5,40,,,,,,,,,483.7,,10.87,1.74,0.8,,0,0,0,
SPE034,SiNx,,480,10.87,1.74,0,0.799,0,,For Annealing,,,10/2/13,377,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),2,800,84,400,8,26.5,2.5,40,,,,,,,,,480.1,,10.87,1.74,0.8,,0,0,0,
SPE035,MgO,4.4,315,11.58,1.26,138,0.767,"15,954",,For Annealing,,,10/2/13,377,MgO,,3,800,84,400,8,26.5,2.5,40,,,0.2015,0.5736,0.2248,based on T,4.37,,315.3,,11.58,1.26,0.77,,137.77,"15,953.69",3.12,
SPE036,SiNx,,474,10.84,1.74,0,0.798,0,,For Annealing,,,10/2/13,377,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),4,800,84,400,8,26.5,2.5,40,,,,,,,,,473.9,,10.84,1.74,0.8,,0,0,0,
SPE037,SiNx,,481,10.83,1.75,0,0.799,0,,For Annealing,,,10/2/13,377,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),5,800,84,400,8,26.5,2.5,40,,,,,,,,,480.8,,10.83,1.75,0.8,,0,0,0,
SPE038,SiNx,,390,12.09,1.43,0,0.866,0,,For Annealing,,,10/2/13,377,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),6,800,84,400,8,26.5,2.5,40,,,,,,,,,389.8,,12.09,1.43,0.87,,0,0,0,
SPE039,SiNx,,546,11.06,1.93,0,0.819,0,,For FAN fab,,,10/4/13,378,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),3,800,66,400,8,26.5,2.5,40,,,,,,,,,545.6,,11.06,1.93,0.82,,0,0,0,
SPE040,MgO,,393,,,,,,,For FAN fab,,,10/4/13,378,MgO,,4,800,66,400,8,26.5,2.5,40,,,0.1807,0.6313,0.1881,based on T,3.27,,392.5,,11.25,1.59,0.74,,128.35,"14,439.68",,
SPE041,SiNx,,543,11.01,1.97,0,0.815,0,,For FAN fab,,,10/4/13,378,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),6,800,66,400,8,26.5,2.5,40,,,,,,,,,542.6,,11.01,1.97,0.81,,0,0,0,
SPE042,SiNx,,460,11.47,1.64,0,0.848,0,,For FAN fab,,,10/7/13,379,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),3,800,72,400,8,26.5,2.5,40,,,,,,,,,460.1,,11.47,1.64,0.85,,0,0,0,
SPE043,MgO,3.8,386,10.89,1.44,146,0.739,"15,950",,For FAN fab,,,10/7/13,379,MgO,,4,800,72,400,8,26.5,2.5,40,,,0.1883,0.6028,0.2089,based on T,3.79,,386.4,,10.89,1.44,0.74,,146.46,"15,949.98",3.16,
SPE044,SiNx,,463,11.6,1.68,0,0.845,0,,For FAN fab,,,10/7/13,379,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),6,800,72,400,8,26.5,2.5,40,,,,,,,,,463,,11.6,1.68,0.84,,0,0,0,
SPE045,MgO,4.7,320,11.65,1.32,149,0.766,"17,386",,For KAS fab,,,10/8/13,380,MgO,,1,800,84,400,8,26.5,2.5,40,,,0.2046,0.5597,0.2357,based on T,4.66,,320.3,,11.65,1.32,0.77,,149.24,"17,386.45",3.33,
SPE046,SiO2,,431,11.1,1.57,0,0.821,0,,For KAS fab,,,10/8/13,380,SiO2,228.9,2,800,84,400,8,26.5,2.5,40,,,,,,,,,430.7,,11.1,1.57,0.82,,0,0,0,
SPE047,SiO2,,365,12,1.39,0,0.872,0,,For KAS fab,,,10/8/13,380,SiO2,228.9,3,800,84,400,8,26.5,2.5,40,,,,,,,,,364.5,,12,1.39,0.87,,0,0,0,
SPE048,SiO2,,432,11.01,1.54,0,0.822,0,,For KAS fab,,,10/8/13,380,SiO2,228.9,4,800,84,400,8,26.5,2.5,40,,,,,,,,,431.6,,11.01,1.54,0.82,,0,0,0,
SPE049,SiO2,,427,11.14,1.56,0,0.823,0,,For KAS fab,,,10/8/13,380,SiO2,228.9,5,800,84,400,8,26.5,2.5,40,,,,,,,,,426.6,,11.14,1.56,0.82,,0,0,0,
SPE050,SiO2,,363,12.06,1.39,0,0.876,0,,For KAS fab,,,10/8/13,380,SiO2,228.9,6,800,84,400,8,26.5,2.5,40,,,,,,,,,362.7,,12.06,1.39,0.88,,0,0,0,
SPE051,SiNx,,433,11.17,1.64,0,0.86,0,,,,,10/9/13,381,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),3,800,72,400,6,26.5,2.5,40,,,,,,,,,432.7,,11.17,1.64,0.86,,0,0,0,
SPE052,MgO,4.2,279,12.67,,117,0.894,"14,868",,,,,10/9/13,381,MgO,,4,800,72,400,6,26.5,2.5,40,,,0.1975,0.5817,0.2208,based on T,4.2,,279.4,,12.67,,0.89,,117.35,"14,867.99",3.5,
SPE053,SiNx,,437,11.1,1.62,0,0.857,0,,,,,10/9/13,381,SiNx,172 (nom) / 148.5nm w/ n=2.52 (Ellips),6,800,72,400,6,26.5,2.5,40,,,,,,,,,437.1,,11.1,1.62,0.86,,0,0,0,
SPE054,,,,,,0,,0,,Dep by Yachin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,
SPE055,,,,,,0,,0,,Dep by Yachin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,
SPE056,,,,,,0,,0,,Dep by Yachin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,
SPE057,,,,,,0,,0,,Dep by Yachin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,
SPE058,,,,,,0,,0,,Dep by Yachin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,
SPE059,,,,,,0,,0,,Dep by Yachin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,
SPE060,,,,,,0,,0,,Dep by Yachin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,
SPE061,,,,,,0,,0,,Dep by Yachin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,
SPE062,MgO,3.6,452,10.4,1.68,164,0.728,"17,054",,,,,11/21/13,385,MgO,,1,800,69,400,8,26.5,2.5,40,,,0.1737,0.612,0.2143,based on T,3.63,,451.8,,10.4,1.68,0.73,,163.99,"17,054.47",3.16,
SPE063,SiNx,,542,11.39,1.85,0,0.828,0,,For FAN Fab.,,,11/21/13,385,SiNx,172 (nom),3,800,69,400,8,26.5,2.5,40,,,,,,,,,541.9,,11.39,1.85,0.83,,0,0,0,
SPE064,SiNx,,547,11.33,1.87,0,0.819,0,,For FAN Fab.,,,11/21/13,385,SiNx,172 (nom),6,800,69,400,8,26.5,2.5,40,,,,,,,,,546.8,,11.33,1.87,0.82,,0,0,0,
SPE065,MgO,3.7,396,11.16,1.49,147,0.75,"16,392",,Anneal then Auger.,,,11/22/13,386,MgO,,1,800,69,400,8,26.5,2.5,40,,,0.1794,0.6072,0.2135,based on T,3.71,,395.9,,11.16,1.49,0.75,,146.88,"16,391.93",3.23,
SPE066,SiNx,,502,11.38,1.78,0,0.838,0,,For FAN Fab.,,,11/22/13,386,SiNx,172 (nom),3,800,69,400,8,26.5,2.5,40,,,,,,,,,501.9,,11.38,1.78,0.84,,0,0,0,
SPE067,SiNx,,487,11.45,1.74,0,0.841,0,,For FAN Fab.,,,11/22/13,386,SiNx,172 (nom),6,800,69,400,8,26.5,2.5,40,,,,,,,,,487.4,,11.45,1.74,0.84,,0,0,0,
SPE068,MgO,3.6,428,10.65,1.69,156,0.627,"16,606",,,,,11/24/13,387,MgO,,1,800,69,400,8,26.5,2.5,40,,,0.1791,0.6113,0.2096,based on T,3.64,,428.4,,10.65,1.69,0.63,,155.93,"16,606.49",3.17,
SPE069,SiNx,,515,11.23,1.8,0,0.835,0,,For FAN Fab.,,,11/24/13,387,SiNx,172 (nom),3,800,69,400,8,26.5,2.5,40,,,,,,,,,515.3,,11.23,1.8,0.83,,0,0,0,
SPE070,SiNx,,523,11.29,1.85,0,0.833,0,,For FAN Fab.,,,11/24/13,387,SiNx,172 (nom),6,800,69,400,8,26.5,2.5,40,,,,,,,,,522.6,,11.29,1.85,0.83,,0,0,0,
SPE071,MgO,3.7,355,11.89,1.38,130,0.778,"15,493",,,,,11/25/13,388,MgO,,1,800,69,400,8,26.5,2.5,40,,,0.1831,0.6095,0.2074,based on T,3.67,,355,,11.89,1.38,0.78,,130.3,"15,493.01",3.19,
SPE072,SiNx,,502,11.26,1.8,0,0.839,0,,For YI Fab.,,,11/25/13,388,SiNx,172 (nom),3,800,69,400,8,26.5,2.5,40,,,,,,,,,502.2,,11.26,1.8,0.84,,0,0,0,
SPE073,SiNx,,498,11.28,1.78,0,0.84,0,,For YI Fab.,,,11/25/13,388,SiNx,172 (nom),6,800,69,400,8,26.5,2.5,40,,,,,,,,,498.1,,11.28,1.78,0.84,,0,0,0,
SPE074,MgO,3.8,434,10.86,1.66,163,0.737,"17,703",,In situ anneal,,,11/26/13,389,MgO,,1,800,69,400,8,26.5,2.5,40,,,0.1748,0.6046,0.2206,based on T,3.76,,433.6,,10.86,1.66,0.74,,163.02,"17,703.48",3.27,
SPE075,SiNx,,564,10.66,1.91,0,0.827,0,,In situ anneal,,,11/26/13,389,SiNx,172 (nom),3,800,69,400,8,26.5,2.5,40,,,,,,,,,563.6,,10.66,1.91,0.83,,0,0,0,
SPE076,SiNx,,563,10.74,1.92,0,0.829,0,,In situ anneal,,,11/26/13,389,SiNx,172 (nom),6,800,69,400,8,26.5,2.5,40,,,,,,,,,562.5,,10.74,1.92,0.83,,0,0,0,
SPE077,MgO,3.6,457,,,164,,0,,,,,12/27/13,391,MgO,,1,800,69,400,8,26.5,2.5,40,,,0.1852,0.6138,0.2009,based on T,3.59,,456.6,,,,,,163.91,0,3.12,
